LSOA_code,GEOGRAPHY,LSOA_name,TotalHouses2019,Fires2019,ExpectedFires2019
E01000001,LSOA,City of London 001A,1148,0,1.655529652
E01000002,LSOA,City of London 001B,1242,0,1.791086958
E01000003,LSOA,City of London 001C,950,0,1.36999405
E01000005,LSOA,City of London 001E,709,1,1.022448191
E01000006,LSOA,Barking and Dagenham 016A,554,0,0.798922846
E01000007,LSOA,Barking and Dagenham 015A,991,6,1.429120109
E01000008,LSOA,Barking and Dagenham 015B,554,0,0.798922846
E01000009,LSOA,Barking and Dagenham 016B,688,1,0.992164112
E01000010,LSOA,Barking and Dagenham 015C,1272,2,1.834349928
E01000011,LSOA,Barking and Dagenham 016C,490,1,0.70662851
E01000012,LSOA,Barking and Dagenham 015D,732,1,1.055616468
E01000013,LSOA,Barking and Dagenham 013A,688,0,0.992164112
E01000014,LSOA,Barking and Dagenham 013B,698,1,1.006585102
E01000015,LSOA,Barking and Dagenham 009A,897,3,1.293562803
E01000016,LSOA,Barking and Dagenham 009B,668,1,0.963322132
E01000017,LSOA,Barking and Dagenham 009C,709,1,1.022448191
E01000018,LSOA,Barking and Dagenham 009D,658,1,0.948901142
E01000019,LSOA,Barking and Dagenham 023A,533,1,0.768638767
E01000020,LSOA,Barking and Dagenham 023B,688,0,0.992164112
E01000021,LSOA,Barking and Dagenham 008A,604,1,0.871027796
E01000022,LSOA,Barking and Dagenham 008B,544,1,0.784501856
E01000023,LSOA,Barking and Dagenham 008C,1377,1,1.985770323
E01000024,LSOA,Barking and Dagenham 008D,460,1,0.66336554
E01000025,LSOA,Barking and Dagenham 008E,688,0,0.992164112
E01000027,LSOA,Barking and Dagenham 001A,688,1,0.992164112
E01000028,LSOA,Barking and Dagenham 001B,688,1,0.992164112
E01000029,LSOA,Barking and Dagenham 001C,709,1,1.022448191
E01000030,LSOA,Barking and Dagenham 001D,814,4,1.173868586
E01000031,LSOA,Barking and Dagenham 002A,648,0,0.934480152
E01000032,LSOA,Barking and Dagenham 002B,688,0,0.992164112
E01000033,LSOA,Barking and Dagenham 006A,594,1,0.856606806
E01000034,LSOA,Barking and Dagenham 003A,564,0,0.813343836
E01000035,LSOA,Barking and Dagenham 010A,638,2,0.920059162
E01000036,LSOA,Barking and Dagenham 010B,510,1,0.73547049
E01000037,LSOA,Barking and Dagenham 003B,594,0,0.856606806
E01000038,LSOA,Barking and Dagenham 003C,638,0,0.920059162
E01000039,LSOA,Barking and Dagenham 003D,698,2,1.006585102
E01000040,LSOA,Barking and Dagenham 019A,688,2,0.992164112
E01000041,LSOA,Barking and Dagenham 017A,638,1,0.920059162
E01000042,LSOA,Barking and Dagenham 017B,742,3,1.070037458
E01000043,LSOA,Barking and Dagenham 019B,490,0,0.70662851
E01000044,LSOA,Barking and Dagenham 016D,668,2,0.963322132
E01000045,LSOA,Barking and Dagenham 017C,638,0,0.920059162
