"osmID","NeighNum","NeighbNam","Year","Month","LIRAa","Total","InfestedNum","Temperature","Precipitation","Urbanisation","Expected"
4601806,1,"Jardim Paulistano",2017,"January",1,2337,276,28.501,19.666,0.961,164.085710137914
4601806,1,"Jardim Paulistano",2017,"April",2,2337,248,28.266,109.154,0.961,164.085710137914
4601806,1,"Jardim Paulistano",2017,"July",3,2337,241,23.912,185.623,0.961,164.085710137914
4601798,2,"Estação Velha",2017,"January",1,974,66,28.501,19.666,0.963,68.3865989192677
4601798,2,"Estação Velha",2017,"April",2,974,51,28.266,109.154,0.963,68.3865989192677
4601798,2,"Estação Velha",2017,"July",3,974,87,23.912,185.623,0.963,68.3865989192677
4601815,3,"Liberdade",2017,"January",1,5031,433,28.501,19.666,0.984,353.237144931043
4601815,3,"Liberdade",2017,"April",2,5031,413,28.266,109.154,0.984,353.237144931043
4601815,3,"Liberdade",2017,"July",3,5031,473,23.912,185.623,0.984,353.237144931043
4601837,4,"Presidente Médici",2017,"January",1,1250,134,28.844,17.445,0.993,87.7651423501895
4601837,4,"Presidente Médici",2017,"April",2,1250,48,28.423,103.561,0.993,87.7651423501895
4601837,4,"Presidente Médici",2017,"July",3,1250,94,24.028,174.165,0.993,87.7651423501895
4601841,5,"Sandra Cavalcante",2017,"January",1,1871,101,28.99,21.248,0.924,131.366865069764
4601841,5,"Sandra Cavalcante",2017,"April",2,1871,80,28.467,112.042,0.924,131.366865069764
4601841,5,"Sandra Cavalcante",2017,"July",3,1871,174,24.136,187.464,0.924,131.366865069764
4601822,6,"Monte Santo",2017,"January",1,2297,108,28.501,19.666,0.802,161.277225582708
4601822,6,"Monte Santo",2017,"April",2,2297,74,28.266,109.154,0.802,161.277225582708
4601822,6,"Monte Santo",2017,"July",3,2297,122,23.912,185.623,0.802,161.277225582708
4601843,7,"Santa Rosa",2017,"January",1,3067,230,28.501,19.666,0.904,215.340553270425
4601843,7,"Santa Rosa",2017,"April",2,3067,107,28.266,109.154,0.904,215.340553270425
4601843,7,"Santa Rosa",2017,"July",3,3067,212,23.912,185.623,0.904,215.340553270425
4601794,8,"Cruzeiro",2017,"January",1,3885,458,28.501,19.666,0.921,272.774062424389
4601794,8,"Cruzeiro",2017,"April",2,3885,412,28.266,109.154,0.921,272.774062424389
