osmID,NeighNum,NeighbNam,Total,InfestedNum,Temperature,Precipitation,Urbanisation
4601806,1,Jardim Paulistano,7011,765,26.893,104.8143333,0.961
4601798,2,Estação Velha,2922,204,26.893,104.8143333,0.963
4601815,3,Liberdade,15093,1319,26.893,104.8143333,0.984
4601837,4,Presidente Médici,3750,276,27.09833333,98.39033333,0.993
4601841,5,Sandra Cavalcante,5613,355,27.19766667,106.918,0.924
4601822,6,Monte Santo,6891,304,26.893,104.8143333,0.802
4601843,7,Santa Rosa,9201,549,26.893,104.8143333,0.904
4601794,8,Cruzeiro,11655,1270,26.893,104.8143333,0.921
4601802,9,Itararé,2733,173,27.09833333,98.39033333,0.884
4601803,10,Jardim Continental,1845,82,26.332,110.7823333,0.326
4601816,11,Louzeiro,1140,81,26.332,110.7823333,0.191
4601852,12,São José,3873,338,26.893,104.8143333,0.989
4601834,13,Pedregal,7005,243,26.893,104.8143333,0.956
4601792,14,Conceição,3276,144,26.893,104.8143333,0.983
4601839,15,Ramadinha,1800,107,26.90733333,97.986,0.898
4601810,16,Jeremias,10485,748,26.332,110.7823333,0.66
4601833,17,Palmeira,5043,360,26.893,104.8143333,0.865
4601858,18,Vila Cabral,4041,256,27.19766667,106.918,0.573
4601842,19,Santa Cruz,8799,645,26.893,104.8143333,1
4601796,20,Dinamérica,6459,385,26.893,104.8143333,0.738
4601819,21,Mirante,1452,121,27.19766667,106.918,0.925
4601811,22,José Pinheiro,13887,1158,27.19766667,106.918,0.999
4601783,23,Castelo Branco,2334,144,27.19766667,106.918,0.561
4601846,24,Santo Antônio,3477,290,27.19766667,106.918,1
4601821,25,Monte Castelo,7428,620,27.19766667,106.918,0.654
4601830,26,Novo Bodocongó,1176,114,26.329,104.0693333,0.098
4601787,27,Centro,8475,159,26.893,104.8143333,0.962
4601795,28,Cuités,1593,70,26.332,110.7823333,0.119
4601786,29,Centenário,7227,251,26.893,104.8143333,0.998
4601775,30,Bela Vista,5550,192,26.893,104.8143333,0.936
4601836,31,Prata,3438,65,26.893,104.8143333,1
4601784,32,Catolé,19338,1347,26.893,104.8143333,0.988
4601854,33,Tambor,5454,345,26.893,104.8143333,0.954
4601857,34,Velame,7122,354,27.09833333,98.39033333,0.408
4601817,35,Malvinas,31617,3308,26.90733333,97.986,0.453
4601856,36,Universitário,3021,104,26.893,104.8143333,0.562
4601827,37,Nova Brasília,7518,463,27.19766667,106.918,0.856
4601809,38,Jardim Tavares,2958,182,26.688,112.9886667,0.538
4601826,39,Nações,1128,70,26.332,110.7823333,0.417
4601813,40,Lauritzen,2481,153,26.893,104.8143333,1
4601771,41,Alto Branco,7419,458,26.332,110.7823333,0.854
4601848,42,Serrotão,5052,494,26.90733333,97.986,0.164
4601781,43,Bodocongó,11814,1153,26.90733333,97.986,0.823
4601855,44,Três Irmãs,10605,403,27.2,91.74966667,0.224
4601770,45,Acácio Figueiredo,7971,396,27.2,91.74966667,0.481
4601791,46,Cidades,4986,247,27.2,91.74966667,0.241
4601807,47,Quarenta,6819,499,26.893,104.8143333,0.987
